,en,es
ATTRIBUTE_NAME_CHARISMA,Charisma,Carisma
ATTRIBUTE_NAME_ENDURANCE,Endurance,Resistencia
ATTRIBUTE_NAME_INTELLIGENCE,Intelligence,Inteligencia
ATTRIBUTE_NAME_LOOKS,Looks,Apariencia
ATTRIBUTE_NAME_MENTAL_STRENGTH,Mental Strength,Fuerza Mental
ATTRIBUTE_NAME_PHYSICAL_STRENGTH,Physical Strength,Fuerza Física
GOOD_BUILDING_MATERIALS,Building Materials,Materiales de construcción
GOOD_CANNED_FOOD,Canned Food,Alimentos enlatados
GOOD_CLOTH,Cloth,Tela
GOOD_DESCRIPTION_BUILDING_MATERIALS,"Materials that are using for building, such as wood and remnants.","Materiales que se utilizan para la construcción, como la madera y los restos."
GOOD_DESCRIPTION_CANNED_FOOD,Food that comes in a can.,Comida que viene en lata.
GOOD_DESCRIPTION_CLOTH,A fabric use for making clothing and other things.,Tela que se utiliza para hacer ropa y otras cosas.
GOOD_DESCRIPTION_EQUIPMENT,Things that people use or wear.,Cosas que la gente usa o usa.
GOOD_DESCRIPTION_FISH,An edible animal that lives in water.,Animal comestible que vive en el agua.
GOOD_DESCRIPTION_FOOD,Things that people shove in their faces.  It reduces hunger.,Cosas que la gente se mete en la cara.  Reduce el hambre.
GOOD_DESCRIPTION_FRUIT,A seed pod that is ediable.,Una vaina de semillas que es comestible.
GOOD_DESCRIPTION_GLASS,A clear material made from sand.,Un material transparente hecho de arena.
GOOD_DESCRIPTION_INFLUENCE,Used to get people to do things.,Se usa para hacer que la gente haga cosas.
GOOD_DESCRIPTION_IRON,A processed ferromagnetic metal which is soft and rusts easily but can be used to make steel which makes it very durable and resist corrosion.,"Un metal ferromagnético que es blando y se oxida fácilmente, pero se puede usar para hacer acero, lo que lo hace muy duradero y resistente a la corrosión."
GOOD_DESCRIPTION_IRON_ORE,A ferromagnetic metal which is soft and rusts easily but can be used to make steel which makes it very durable and resist corrosion.,"Un metal ferromagnético que es blando y se oxida fácilmente, pero se puede usar para hacer acero, lo que lo hace muy duradero y resistente a la corrosión."
GOOD_DESCRIPTION_MONEY,Objects of value that are spent.,Objetos de valor que se gastan.
GOOD_DESCRIPTION_PAPER,A material that can be used to write on.,Un material que se puede utilizar para escribir.
GOOD_DESCRIPTION_PRIMITIVE_SCOUTING_EQUIPMENT,"Thrown together maps, binoculars and other scouting gear.","Junté mapas, binoculares y otros equipos de exploración."
GOOD_DESCRIPTION_REMNANTS,Left overs from the old world.,Sobras del viejo mundo.
GOOD_DESCRIPTION_RESEARCH,Research is a non-tangible resource that is generated by researchers.,La investigación es un recurso intangible que es generado por los investigadores.
GOOD_DESCRIPTION_STORAGE_NONPERISHABLE,More places to store nonperishable things.,Más lugares para almacenar cosas no perecederas.
GOOD_DESCRIPTION_STORAGE_PERISHABLE,A place to store perishable things.,Un lugar para almacenar cosas perecederas.
GOOD_DESCRIPTION_VEGETABLES,Food that grows in the ground.,Alimento que crece en la tierra.
GOOD_DESCRIPTION_WOOD,It is made from trees.,Está hecho de árboles.
GOOD_EQUIPMENT,Equipment,Equipo
GOOD_FISH,Fish,Pescado
GOOD_FOOD,Food,Víveres
GOOD_FRUIT,Fruit,Fruta
GOOD_GLASS,Glass,Vidrio
GOOD_INFLUENCE,Influence,Influencia
GOOD_IRON,Iron,Hierro
GOOD_IRON_ORE,Iron Ore,Mineral de hierro
GOOD_MONEY,Money,Dinero
GOOD_PAPER,Paper,Papel
GOOD_PRIMITIVE_SCOUTING_EQUIPMENT,Primitive Scouting Equipment,Equipo de exploración primitivo
GOOD_REMNANTS,Remnants,Remanente
GOOD_RESEARCH,Research,Investigación
GOOD_STORAGE_NONPERISHABLE,Nonperishable Storage,Almacenamiento no perecedero
GOOD_STORAGE_PERISHABLE,Perishable Storage,Almacenamiento de productos perecederos
GOOD_VEGETABLES,Vegetables,Verduras
GOOD_WOOD,Wood,Madera
IMPROVEMENT_CONVERTED_WAREHOUSE,Converted warehouse,Almacén reconvertido
IMPROVEMENT_DESCRIPTION_CONVERTED_WAREHOUSE,How about we store our stuff in an abandoned building.,¿Qué tal si guardamos nuestras cosas en un edificio abandonado?
IMPROVEMENT_DESCRIPTION_FISHERS_SHED,"A makeshift shed for fishing equipment, such as rods, fishing line, and hooks.","Un cobertizo improvisado para equipos de pesca, como cañas, hilo de pescar y anzuelos."
IMPROVEMENT_DESCRIPTION_GARDEN,A place to grow food.,Un lugar para cultivar alimentos.
IMPROVEMENT_DESCRIPTION_IMPROVISED_LUMBERJACK_STATION,An area thrown together with a few axes and other tree chopping equipment.,Un área armada con algunas hachas y otros equipos de tala de árboles.
IMPROVEMENT_DESCRIPTION_LUMBERJACK_STATION,A place for lumber jacks tools and organization.,"Un lugar para leñadores, herramientas y organización."
IMPROVEMENT_DESCRIPTION_RESEARCHERS_OFFICE,A place for books and reading.,Un lugar para los libros y la lectura.
IMPROVEMENT_DESCRIPTION_SCOUTING_EQUIPMENT_WORKSHOP,A primative workshop dedicated to the creation of scouting equipment.,Un taller primitivo dedicado a la creación de equipos de exploración.
IMPROVEMENT_FISHERS_SHED,Fisher's Shed,Cobertizo del pescador
IMPROVEMENT_GARDEN,Garden,Jardín
IMPROVEMENT_IMPROVISED_LUMBERJACK_STATION,Improvised Lumberjack Station,Estación de leñadores improvisada
IMPROVEMENT_LUMBERJACK_STATION,Lumberjack Station,Estación de leñadores
IMPROVEMENT_NONTANGIBLE_NOT_PRODUCED_RESEARCH_OFFICE,Generates research.,Genera investigación.
IMPROVEMENT_NONTANGIBLE_NOT_PRODUCED_WAREHOUSE,Will generate extra storage some number.,Generará almacenamiento adicional algún número.
IMPROVEMENT_NONTANGIBLE_PRODUCED_RESEARCH_OFFICE,First Name Last Name Research Name,Nombre Apellido Nombre de la investigación
IMPROVEMENT_NONTANGIBLE_PRODUCED_WAREHOUSE,Is generating extra storage some number.,Está generando almacenamiento adicional algún número.
IMPROVEMENT_RESEARCHERS_OFFICE,Researcher's Office,Oficina del Investigador
IMPROVEMENT_SCOUTING_EQUIPMENT_WORKSHOP,Scouting Equipment Workshop,Taller de Equipo de Exploración
INTEREST_BIOLOGY,Biology,Biología
INTEREST_BOTANY,Botany,Botánica
INTEREST_ENGINEERING,Engineering,Ingeniería
INTEREST_HUMANITIES,Humanities,Humanidades
INTEREST_INFORMATION,Information,Información
INTEREST_POLITICS,Politics,Política
INTEREST_WARFARE,Warfare,Guerra
PERK_DESCRIPTION_LEADEROFPEOPLE,This person is skilled at leading people.,Esta persona es hábil para liderar personas.
PERK_DESCRIPTION_UHELPFUL,This person is just generally an ass.,Esta persona es generalmente un idiota.
PERK_NAME_LEADEROFPEOPLE,Leader of People,Líder de Personas
PERK_NAME_UNHELPFUL,Unhelpful,Inútil
PHRASE_ASSIGN_RESEARCHER,Assign Researcher,Asignar investigador
PHRASE_ASSIGN_RESEARCHER_IN_RESEARCH_PANEL,Assign researcher in research panel.,Asignar investigador en el panel de investigación.
PHRASE_ASSIGNED_RESEARCHERS,Assigned Researchers,Investigadores asignados
PHRASE_AUXILIARY_EQUIPMENT,[u]Auxiliary Equipment[/u],[u]Equipos auxiliares[/u]
PHRASE_BUILD_IMPROVEMENT_CONFIRM,Are you sure you want to build a,¿Estás seguro de que quieres construir un
PHRASE_CONSTRUCTION_COST,Construction Cost,Costo de construcción
PHRASE_CONSTRUCTION_GOODS,Construction Goods,Bienes de construcción
PHRASE_CONSTRUCTION_PROGRESS,Construction Progress,Avance de la construcción
PHRASE_COUNTY_IMPROVEMENT,County Improvement,Mejoramiento del Condado
PHRASE_COUNTY_IMPROVEMENTS,County Improvements,Mejoras en el condado
PHRASE_CURRENT_ADJUSTED_MAX_BUILDERS,Current/Adjusted (Max) Builders,Constructores Actuales/Ajustados (Máx.)
PHRASE_CURRENT_ADJUSTED_MAX_WORKERS,Current/Adjusted (Max) Workers,Trabajadores actuales/ajustados (máx.)
PHRASE_CURRENT_IMPROVEMENTS,Current Improvements,Mejoras actuales
PHRASE_DECLARE_WAR_CONFIRMATION,Do you want to declare war on,¿Quieres declararle la guerra?
PHRASE_DEFENSIVE_EQUIPMENT,[u]Defensive Equipment[/u],[u]Equipo defensivo[/u]
PHRASE_FAILED_COOL_ROLL,has failed their cool roll,ha fracasado en su racha de calma
PHRASE_GOODS_PRODUCED,Goods Produced,Bienes producidos
PHRASE_GOODS_PRODUCED_PER_DAY,Goods Produced Per Day,Bienes producidos por día
PHRASE_GOODS_PRODUCED_PER_DAY_WITHOUT_BONUS,Goods Produced Per Day Without Bonus,Bienes producidos por día sin bonificación
PHRASE_GOODS_PRODUCED_YESTERDAY,Goods Produced Yesterday,Bienes producidos ayer
PHRASE_HAS_BEEN_COMPLETED,has been completed,se ha completado
PHRASE_HAS_DECLARED_WAR,has declared war on,ha declarado la guerra a
PHRASE_HAS_HIT,has hit,ha golpeado
PHRASE_HAS_SUCCESSFULLY_EXPLORED,has successfully explored,ha explorado con éxito
PHRASE_IDLE_WORKERS,Idle Workers,Trabajadores inactivos
PHRASE_INPUT_GOODS,Input Goods,Bienes de entrada
PHRASE_INVENTORY_AND_SUBORDINATES,Inventory and Subordinates,Inventario y subordinados
PHRASE_IS_NOW_RESEARCHING,is now researching,ahora está investigando
PHRASE_IS_RESEARCHING,is researching,está investigando
PHRASE_IS_RETREATING,is retreating,se está retirando
PHRASE_ISNT_SCARED,isn't scared,no tiene miedo
PHRASE_LOST_BATTLE,has lost the battle,ha perdido la batalla
PHRASE_MAX_NONPERISHABLE_STORAGE_AVAILABLE,Max Nonperishable Storage Available:,Almacenamiento máximo no perecedero disponible:
PHRASE_MAX_PERISHABLE_STORAGE_AVAILABLE,Max Perishable Storage Available:,Almacenamiento máximo de productos perecederos disponible:
PHRASE_MAX_WORKERS,Max Workers,Máximo de trabajadores
PHRASE_MEDICAL_EQUIPMENT,[u]Medical Equipment[/u],[u]Equipos médicos[/u]
PHRASE_MORALE_LOST,Morale lost,Pérdida de moral
PHRASE_NEWEST_EQUIPMENT,Newest Equipment?,¿Equipo más nuevo?
PHRASE_NO_MORE_PEOPLE_TO_RECRUIT,No more people to recruit.,No hay más gente para reclutar.
PHRASE_NUMBER_OF_SUBORDINATES,Number of Subordinates,Número de subordinados
PHRASE_OFFENSIVE_EQUIPMENT,[u]Offensive Equipment[/u],[u]Equipo ofensivo[/u]
PHRASE_ONLY_PRODUCE,Only Produce,Solo producir
PHRASE_PERCENT_EXPLORED,Percent Explore,Porcentaje de exploración
PHRASE_POSSIBLE_IMPROVEMENTS,Possible Improvements,Posibles mejoras
PHRASE_PREFERRED_WORK,Preferred Work,Trabajo preferido
PHRASE_PRODUCE_AS_NEEDED,Produce as needed,Producir según sea necesario
PHRASE_RECONNAISSANCE_EQUIPMENT,[u]Reconnaissance Equipment[/u],[u]Equipo de reconocimiento[/u]
PHRASE_RECRUIT_AS_AIDE,Recruit as Aide,Recluta como ayudante
PHRASE_RECRUIT_AS_ARMY_LEADER,Recruit as Army Leader,Recluta como líder del ejército
PHRASE_RECRUIT_HERO_CONFIRMATION,Are you sure you want to recruit,¿Estás seguro de que quieres reclutar?
PHRASE_REMOVE_IMPROVEMENT,Remove Improvement,Eliminar mejora
PHRASE_RESEARCH_COST,Research Cost,Coste de investigación
PHRASE_RESEARCH_FOR,Research for,Investigación para
PHRASE_RESEARCH_PROGRESS,Research Progress,Avances en la investigación
PHRASE_RETURNING_TO,Returning to,Volviendo a
PHRASE_SCAVENGEABLE_GOODS,Scavengeable Goods,Bienes recuperables
PHRASE_THERE_IS_NEGATIVE_STORAGE,There is negative storage!,¡Hay almacenamiento negativo!
PHRASE_UNDER_CONSTRUCTION,Under Construction,En obra
PHRASE_USE_REMNANTS_FOR_CONSTRUCTION,Use Remnants for construction,Usar remanentes para la construcción
RESEARCH_BASIC_PRODUCTION,Basic Production,Producción básica
RESEARCH_BASIC_RESEARCHING,Basic Researching,Investigación Básica
RESEARCH_BASIC_STORAGE,Basic Storage,Almacenamiento básico
RESEARCH_DESCRIPTION_BASIC_PRODUCTION,"We should probably have buildings for tool storage and a place to work for fishing, gardening and lumberjacking.","Probablemente deberíamos tener edificios para el almacenamiento de herramientas y un lugar para trabajar para la pesca, la jardinería y la leñador."
RESEARCH_DESCRIPTION_BASIC_RESEARCHING,Isn't it time to have a place for someone to rediscover things?,¿No es hora de tener un lugar para que alguien redescubra las cosas?
RESEARCH_DESCRIPTION_BASIC_STORAGE,"Instead of having everything laying around, why don't we have a centralized place for our junk?","En lugar de tener todo por ahí, ¿por qué no tenemos un lugar centralizado para nuestra basura?"
RESEARCH_DESCRIPTION_PRIMITIVE_SCOUTING_EQUIPMENT,"Equipment such as maps, binoculars and other equipment.","Equipos como mapas, binoculares y otros equipos."
RESEARCH_PRIMITIVE_SCOUTING_EQUIPMENT,Primitive Scouting Equipment,Equipo de exploración primitivo
SKILL_DESCRIPTION_CONSTRUCTION,Not written.,No está escrito.
SKILL_DESCRIPTION_COOL,Not written.,No está escrito.
SKILL_DESCRIPTION_FARM,Not written.,No está escrito.
SKILL_DESCRIPTION_FISH,Not written.,No está escrito.
SKILL_DESCRIPTION_LABOR,Not written.,No está escrito.
SKILL_DESCRIPTION_LEADERSHIP,The ability to organize and lead people.,La capacidad de organizar y liderar a las personas.
SKILL_DESCRIPTION_LUMBERJACK,Not written.,No está escrito.
SKILL_DESCRIPTION_PRODUCTION,Not written.,No está escrito.
SKILL_DESCRIPTION_RESEARCH,Not written.,No está escrito.
SKILL_DESCRIPTION_RIFLE,Not written.,No está escrito.
SKILL_DESCRIPTION_SCAVENGE,Not written.,No está escrito.
SKILL_DESCRIPTION_SCOUT,The ability to notice things in the environment,La capacidad de notar cosas en el entorno
SKILL_NAME_CONSTRUCTION,Construction,Construcción
SKILL_NAME_COOL,Cool,Fresco
SKILL_NAME_FARM,Farm,Granja
SKILL_NAME_FISH,Fish,Pescado
SKILL_NAME_LABOR,Labor,Trabajo
SKILL_NAME_LEADERSHIP,Leadership,Liderazgo
SKILL_NAME_LUMBERJACK,Lumberjack,Leñador
SKILL_NAME_PRODUCTION,Production,Producción
SKILL_NAME_RESEARCH,Research,Investigación
SKILL_NAME_RIFLE,Rifle,Fusil
SKILL_NAME_SCAVENGE,Scavenge,Recoger la basura
SKILL_NAME_SCOUT,Scout,Escucha
STORY_EVENT_COAST_FOUND_FISH_CHOICE_ACCEPT,Grab the fish!,¡Agarra el pez!
STORY_EVENT_COAST_FOUND_FISH_CHOICE_DECLINE,Leave the stinking fish behind.,Deja atrás el pescado apestoso.
STORY_EVENT_DESCRIPTION_COAST_FOUND_FISH,"As the leader of the expedition walked along the beach, they discovered a fishing net filled with a plentiful catch.","Mientras el líder de la expedición caminaba por la playa, descubrieron una red de pesca llena de abundantes capturas."
STORY_EVENT_DESCRIPTION_DESERT_FOUND_NOTHING,In the distance the explorer sees a dilapidated shack.  With excitement the explorer approaches and to their disappointment they find only trash from the old world.,"A lo lejos, el explorador ve una choza en ruinas.  Con emoción, el explorador se acerca y, para su decepción, solo encuentran basura del viejo mundo."
STORY_EVENT_DESCRIPTION_FOREST_FOUND_LUMBERJACK_STATION,The explorers have found a working lumberjack station left over from the old world.,Los exploradores han encontrado una estación de leñadores en funcionamiento que quedó del viejo mundo.
STORY_EVENT_DESCRIPTION_FOREST_FOUND_WOOD,The leader of the expedition has discovered a logging camp with a small quanity of wood already chopped and processed.,El líder de la expedición ha descubierto un campamento maderero con una pequeña cantidad de madera ya cortada y procesada.
STORY_EVENT_DESCRIPTION_GLACIER_FOUND_NOTHING,The freezing expanse reveals nothing.,La extensión helada no revela nada.
STORY_EVENT_DESCRIPTION_HILL_FOUND_IRON,An old stockpile of iron has been stumbled upon.,Se ha tropezado con una vieja pila de hierro.
STORY_EVENT_DESCRIPTION_LAKE_FOUND_CLOTH,Each lake house seems to have a sunken sailing boat with a usable sail.,Cada casa del lago parece tener un velero hundido con una vela utilizable.
STORY_EVENT_DESCRIPTION_MOUNTAIN_FOUND_IRON_ORE,The expedition has found a massive abandoned iron mine.  In the tailings there is a small amount of iron ore that can be collected.,La expedición ha encontrado una enorme mina de hierro abandonada.  En los relaves hay una pequeña cantidad de mineral de hierro que se puede recolectar.
STORY_EVENT_DESCRIPTION_OASIS_FOUND_FRUIT,An oasis holding a variety of dying fruit trees has been discovered.  Might as well grab the last few fruits on the way out.,Se ha descubierto un oasis que contiene una variedad de árboles frutales moribundos.  También podría agarrar las últimas frutas al salir.
STORY_EVENT_DESCRIPTION_PLAIN_FOUND_NOTHING,A wide open empty field of nothing.,Un campo abierto y vacío de nada.
STORY_EVENT_DESCRIPTION_PLATEAU_FOUND_NOTHING,"The view is great from up here, but that is about it.","La vista es genial desde aquí arriba, pero eso es todo."
STORY_EVENT_DESCRIPTION_RIVER_FOUND_MONEY,A hidden safe filled with jewels has been found by the expedition.,Una caja fuerte escondida llena de joyas ha sido encontrada por la expedición.
STORY_EVENT_DESCRIPTION_RUIN_FOUND_REMNANTS,"Digging through the ruins of the past is demoralizing, but at least the expedition has found some useful items.","Excavar en las ruinas del pasado es desmoralizador, pero al menos la expedición ha encontrado algunos objetos útiles."
STORY_EVENT_DESCRIPTION_RUIN_FOUND_SCAVENGEABLE_REMNANTS,An old hardware store has been discovered.  A perfect place for the scavenging crews to gather left overs from the old world.,Se ha descubierto una antigua ferretería.  Un lugar perfecto para que las tripulaciones de carroñeros recojan las sobras del viejo mundo.
STORY_EVENT_DESCRIPTION_RUIN_FOUND_SURVIVORS,The exploration expedition has stumbled across a number of people living in the ruins.,La expedición de exploración se ha topado con varias personas que viven en las ruinas.
STORY_EVENT_DESCRIPTION_SWAMP_FOUND_VEGETABLES,As the expedition travels through the dampness they come upon a dilapidated shack with a small vegetable garden.,"A medida que la expedición viaja a través de la humedad, se encuentran con una choza en ruinas con un pequeño huerto."
STORY_EVENT_DESCRIPTION_TUNDRA_FOUND_NOTHING,"It is very cold, and empty.",Hace mucho frío y está vacío.
STORY_EVENT_DESERT_FOUND_NOTHING_DECLINE,Leave with head hung low.,Salir con la cabeza gacha.
STORY_EVENT_FOREST_FOUND_LUMBERJACK_STATION_CHOICE_ACCEPT,Take control of the lumberjack station!,¡Toma el control de la estación de leñadores!
STORY_EVENT_FOREST_FOUND_LUMBERJACK_STATION_CHOICE_DECLINE,Last thing we need is more wood.  Ignore the building.,Lo último que necesitamos es más madera.  Ignora el edificio.
STORY_EVENT_FOREST_FOUND_WOOD_CHOICE_ACCEPT,Collect the back breaking amount of wood.,Recoge la cantidad de madera que rompa la espalda.
STORY_EVENT_FOREST_FOUND_WOOD_CHOICE_DECLINE,This is too heavy.  Leave it behind.,Esto es demasiado pesado.  Déjalo atrás.
STORY_EVENT_GLACIER_FOUND_NOTHING_CHOICE_ACCEPT,"Yep, nothing here.  Lets go.","Sí, aquí no hay nada.  Vamos."
STORY_EVENT_HILL_FOUND_IRON_CHOICE_ACCEPT,Take the iron!,¡Toma la plancha!
STORY_EVENT_HILL_FOUND_IRON_CHOICE_DECLINE,Leave it to rust.,Deja que se oxide.
STORY_EVENT_LAKE_FOUND_CLOTH_CHOICE_ACCEPT,Take the sails!,¡Toma las velas!
STORY_EVENT_LAKE_FOUND_CLOTH_CHOICE_DECLINE,Leave the sails to rot.,Deja que las velas se pudran.
STORY_EVENT_MOUNTAIN_FOUND_IRON_ORE_CHOICE_ACCEPT,"Yeah, lets grab all of it!","¡Sí, vamos a agarrarlo todo!"
STORY_EVENT_MOUNTAIN_FOUND_IRON_ORE_CHOICE_DECLINE,"No, thank you.","No, gracias."
STORY_EVENT_OASIS_FOUND_FRUIT_CHOICE_ACCEPT,Pick the fruits!,¡Recoge las frutas!
STORY_EVENT_OASIS_FOUND_FRUIT_CHOICE_DECLINE,Leave the fruits!,¡Deja los frutos!
STORY_EVENT_PLAIN_FOUND_NOTHING_CHOICE_ACCEPT,"Nothing to take, so leave.","No hay nada que llevarse, así que vete."
STORY_EVENT_PLATEAU_FOUND_NOTHING_CHOICE_ACCEPT,Time to carefully leave the plateau with nothing in hand.,Es hora de abandonar con cuidado la meseta sin nada en la mano.
STORY_EVENT_RIVER_FOUND_MONEY_CHOICE_ACCEPT,Take all the valuables!,¡Llévate todos los objetos de valor!
STORY_EVENT_RIVER_FOUND_MONEY_CHOICE_DECLINE,This is all worthless.  Leave it!,Todo esto no vale nada.  ¡Déjalo!
STORY_EVENT_RIVER_FOUND_REMNANTS,An abandoned river boat is wedge on the bank of the river.  It is filled with left overs from the old world.,Un barco abandonado está en la orilla del río.  Está lleno de sobras del viejo mundo.
STORY_EVENT_RIVER_FOUND_REMNANTS_CHOICE_ACCEPT,Take the junk back home.,Llévate la basura a casa.
STORY_EVENT_RIVER_FOUND_REMNANTS_CHOICE_DECLINE,"Nah, we don't want the stuff!","¡No, no queremos las cosas!"
STORY_EVENT_RUIN_FOUND_REMNANTS_CHOICE_ACCEPT,Take everything!,¡Llévate todo!
STORY_EVENT_RUIN_FOUND_REMNANTS_CHOICE_DECLINE,We don't want anything!,¡No queremos nada!
STORY_EVENT_RUIN_FOUND_SCAVENGEABLE_REMNANTS_CHOICE_ACCEPT,Mark it on the map for later scavenging.,Márcalo en el mapa para buscarlo más tarde.
STORY_EVENT_RUIN_FOUND_SCAVENGEABLE_REMNANTS_CHOICE_DECLINE,That is too much work.  Ignore the store.,Eso es demasiado trabajo.  Ignora la tienda.
STORY_EVENT_RUIN_FOUND_SURVIVORS_CHOICE_ACCEPT,Invite the people back to the settlement.,Invita a la gente a volver al asentamiento.
STORY_EVENT_RUIN_FOUND_SURVIVORS_CHOICE_DECLINE,Fuck those people.,A la mierda esa gente.
STORY_EVENT_SWAMP_FOUND_VEGETABLES_CHOICE_ACCEPT,Veggies are good for health.  Take them!,Las verduras son buenas para la salud.  ¡Tómalos!
STORY_EVENT_SWAMP_FOUND_VEGETABLES_CHOICE_DECLINE,The expedition hates eating vegetables.  Leave them behind.,La expedición detesta comer verduras.  Déjalos atrás.
STORY_EVENT_TITLE_FOUND_CLOTH,Found Cloth,Tela encontrada
STORY_EVENT_TITLE_FOUND_FISH,Found Fish,Peces encontrados
STORY_EVENT_TITLE_FOUND_FRUIT,Found Fruit,Fruta encontrada
STORY_EVENT_TITLE_FOUND_IRON,Found Iron,Hierro encontrado
STORY_EVENT_TITLE_FOUND_IRON_ORE,Found Iron Ore,Hierro encontrado
STORY_EVENT_TITLE_FOUND_LUMBERJACK_STATION,Found Lumberjack Station,Estación de leñadores encontrada
STORY_EVENT_TITLE_FOUND_MONEY,Found Money,Dinero encontrado
STORY_EVENT_TITLE_FOUND_NOTHING,Found Nothing,No encontré nada
STORY_EVENT_TITLE_FOUND_REMNANTS,Found Remnants,Restos encontrados
STORY_EVENT_TITLE_FOUND_SCAVENGEABLE_FOOD,Found Scavengeable Food,Comida recolectable encontrada
STORY_EVENT_TITLE_FOUND_SCAVENGEABLE_REMNANTS,Found Scavengeable Remnants,Restos encontrados que se pueden recoger
STORY_EVENT_TITLE_FOUND_SURVIVORS,Found Survivors,Supervivientes encontrados
